,Sample,208Pb,,23Na,25Mg,27Al,28Si,31P,PO4,34S,35Cl,39K,43Ca,47Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,65Cu,66Zn,75As,78Se,88Sr,95Mo,107Ag,111Cd,112Sn,137Ba,238U,bottle_number,date_collected
52,90,0.5,,4376,7614,18.17,1367.0,1259.0,3.8591175330965455,21.69,9.601,994.7,26020.0,2.73,0.5,0.5,13.0,0.5,0.5,0.5,5.87,6.48,0.5,0.5,86.94,0.5,0.5,0.5,0.5,13.35,0.5,bottle3,2016-03-01
53,93,1.672,,4796,7895,12.68,1405.0,1175.0,3.6016386825960613,22.82,10.14,1080.0,26490.0,2.008,0.5,0.5,17.86,0.5,0.5,1.271,144.9,15.22,0.5,0.5,84.36,0.5,0.5,0.5,0.5,11.64,0.5,bottle3,2016-03-01
54,95,0.5,,4454,7527,22.26,1309.0,1275.0,3.9081611236680667,22.33,9.9,1027.0,26230.0,2.407,0.5,0.5,13.48,0.5,0.5,0.5,7.962,34.49,0.5,0.5,87.12,0.5,0.5,0.5,0.5,12.65,0.5,bottle3,2016-03-01
55,96,0.5,,4582,7484,23.02,1374.0,1222.0,3.7457042298999035,22.24,10.55,1027.0,25740.0,2.1,0.5,0.5,17.97,0.5,0.5,0.5,2.704,7.04,0.5,0.5,86.82,0.5,0.5,0.5,0.5,13.11,0.5,bottle3,2016-03-01
56,97,3.548,,4618,7794,59.39,1316.0,1270.0,3.8928350016144657,21.21,9.417,983.6,27480.0,2.664,0.5,0.5,181.6,6.988,0.5,0.5,10.86,12.09,0.5,0.5,90.23,0.5,0.5,0.5,0.5,13.39,0.5,bottle3,2016-03-01
57,98,0.5,,4747,7796,17.04,1469.0,1257.0,3.8529870842751053,22.55,10.03,1068.0,26840.0,2.111,0.5,0.5,1.155,0.5,0.5,1.428,10.18,2.207,0.5,0.5,84.39,0.5,0.5,0.5,0.5,12.84,0.5,bottle3,2016-03-01
58,100,0.5,,4481,7659,16.21,1439.0,1248.0,3.825400064578625,22.83,9.965,1028.0,26520.0,2.212,0.5,0.5,26.12,0.5,0.5,0.5,8.337,10.39,0.5,0.5,86.98,0.5,0.5,0.5,0.5,12.83,0.5,bottle3,2016-03-01
59,101,0.5,,4630,7801,12.49,1341.0,1210.0,3.7089215369712627,21.27,9.502,990.9,27460.0,2.409,0.5,0.5,54.69,1.994,0.5,1.441,22.47,31.02,0.5,0.5,91.71,0.5,0.5,0.5,0.5,13.35,0.5,bottle3,2016-03-01
60,102,2.305,,4396,7828,10.86,1378.0,1130.0,3.463703584113659,20.74,9.305,994.9,26270.0,1.882,0.5,0.5,68.11,2.143,0.5,0.5,18.25,50.26,0.5,0.5,86.83,0.5,0.5,0.5,0.5,11.72,0.5,bottle3,2016-03-01
61,104,1.075,,4630,7826,15.22,1327.0,1262.0,3.8683132063287053,21.45,9.502,982.5,27700.0,2.727,0.5,0.5,84.91,1.646,0.5,10.14,7.829,39.19,0.5,0.5,91.03,0.5,0.5,0.5,0.5,12.72,0.5,bottle3,2016-03-01
